sys_RespNum,Nation,State,REGION,Distance_Coast,Livelihood_ocean,Familiarity_aquaculture,Opinion_aquaculture,Familiarity_seaweed,Opinion_seaweed,Seaweed_harm_good,Opinion_seaweed_post,MXD_I,MXD_II,MXD_III,MXD_IV,MXD_V,MXD_VI,MXD_VII,MXD_VIII,MXD_IX,MXD_X,Strongestest_M3,Weakest_M3,Harm_good_post,Support_seaweed_expansion,Scientists,NGO,Aquarium_museum,Government,Chefs,Fishermen,Seafood_farmer,Grocer,AGE,Native,Asian,Black,Hispanic,Middle_Eastern,Native_Hawaiian,White,Multiracial,Other_1,No_Answer,Voting_status,Homeowner,Marital_status,Education,Gender,RaceME,AgeBreaks,Effect,Livelihood_factor,Race_factor,Education_factor,Gender_factor,Vote_factor,Homeowner_factor,Region_factor,Age_factor,Message_1,Message_2,Message_3,Message_4,Message_5,Message_6,Message_7,Message_8,Message_9,Message_10
67,1,2,3,5,2,3,1,1,4,3,3,9.19403864,8.94944622,2.81409129,19.5751351,25.42271555,7.7282105,7.48921823,5.80617898,5.19744873,7.82351676,2,3,2,4,4,4,4,3,4,4,4,4,22,0,0,0,4,0,0,0,0,0,0,2,2,2,2,2,4,1,1,No,Hispanic,High school graduate,Female,No,No,California,18 to 29,8,7,1,9,10,5,4,3,2,6
68,1,2,3,1,2,1,2,3,3,1,1,15.95948657,3.90804576,17.58053826,3.1348072,5.98007148,10.17423172,10.10755729,6.4379539,20.46173453,6.25557329,1,2,2,1,5,3,4,5,5,2,5,2,27,0,0,0,4,0,0,0,0,0,0,1,2,1,3,1,4,1,2,No,Hispanic,"Some college, no degree",Male,Yes,No,California,18 to 29,8,2,9,1,3,7,6,5,10,4
69,1,2,3,4,2,2,2,1,6,1,2,11.86392511,14.38247301,12.55879329,17.49790526,5.77392028,4.58517757,4.50987125,15.19657934,2.36761007,11.26374482,3,1,1,3,1,3,3,5,2,4,3,3,23,0,0,0,0,0,0,0,8,0,0,1,2,2,4,2,7,1,4,No,Multiracial,Vocational training/2-year college,Female,Yes,No,California,18 to 29,6,8,7,10,4,3,2,9,1,5
71,1,2,3,1,2,2,2,2,2,1,2,7.40162042,4.4126957,12.33218319,14.02828206,2.9075875,6.55004969,18.85995859,17.46495551,9.09885259,6.94381476,1,1,1,#NULL!,5,4,4,4,4,4,5,4,18,0,0,0,4,0,0,0,0,0,0,1,2,1,3,2,4,1,0,No,Hispanic,"Some college, no degree",Female,Yes,No,California,18 to 29,5,2,7,8,1,3,10,9,6,4
75,1,2,3,2,2,3,3,3,4,1,4,7.36007982,12.41395966,3.55143267,15.34767383,13.79599042,5.77724415,8.55049061,13.87197845,5.66877891,13.66237148,3,3,1,3,5,2,4,1,3,6,2,2,19,0,0,0,0,0,0,7,0,0,0,1,2,1,3,1,6,1,0,No,White,"Some college, no degree",Male,Yes,No,California,18 to 29,4,6,1,10,8,3,5,9,2,7
77,1,2,3,2,2,3,5,1,2,1,1,24.0350464,4.7521674,12.71789602,3.60693964,17.5981021,1.30260368,2.01024136,7.89318738,6.20712947,19.87668655,1,3,1,1,5,3,2,3,2,2,2,2,21,0,0,0,4,0,0,0,0,0,0,2,1,1,2,2,4,1,1,No,Hispanic,High school graduate,Female,No,Yes,California,18 to 29,10,4,7,3,8,1,2,6,5,9
78,1,2,3,4,2,3,3,3,3,3,2,21.2521005,13.59628401,11.03556062,11.12782177,5.93609991,2.05661231,0.44089713,3.68645613,23.21904913,7.64911849,3,4,1,4,3,3,3,1,3,3,3,3,40,0,0,0,0,0,0,7,0,0,0,1,1,2,5,1,6,3,1,No,White,4-year college/bachelor's degree,Male,Yes,Yes,California,40 to 49,9,8,6,7,4,2,1,3,10,5
80,1,2,3,3,2,1,1,1,1,1,1,7.64694887,9.59107413,12.0169978,14.44116681,10.55887562,5.23019438,8.1030599,17.34278078,1.88180463,13.18709709,2,1,1,1,5,5,4,5,5,5,5,5,18,0,0,3,0,0,0,0,0,0,0,1,1,2,2,3,3,1,0,No,Black,High school graduate,Other,Yes,Yes,California,18 to 29,3,5,7,9,6,2,4,10,1,8
82,1,2,3,1,1,1,1,1,1,1,1,7.89773096,17.83518018,12.13508571,4.68959336,4.25939209,9.00611959,8.96922804,2.48930369,22.00707484,10.71129154,1,1,2,1,1,5,1,5,1,1,1,1,27,0,0,0,0,0,0,7,0,0,0,1,2,2,5,1,6,1,0,Yes,White,4-year college/bachelor's degree,Male,Yes,No,California,18 to 29,4,9,8,3,2,6,5,1,10,7
84,1,1,1,1,2,3,3,3,3,1,1,21.23199986,22.47648701,10.14074285,15.2988005,6.98373051,0.64677578,0.18932995,10.11961847,5.37624044,7.53627463,1,4,1,3,3,2,4,3,3,4,4,4,50,1,0,0,0,0,0,7,0,0,0,1,1,2,4,2,1,4,2,No,American Indian and Alaska Native,Vocational training/2-year college,Female,Yes,Yes,Alaska/British Columbia,50 to 59,9,10,7,8,4,2,1,6,3,5
85,1,2,3,1,2,2,3,2,3,3,2,14.856072,10.29675921,10.29273132,4.3023916,13.4487882,12.46197713,9.31444838,8.81076523,9.5954809,6.62058602,3,3,#NULL!,2,3,3,3,3,3,3,3,3,50,0,0,0,4,0,0,0,0,0,0,1,2,1,2,1,4,4,1,No,Hispanic,High school graduate,Male,Yes,No,California,50 to 59,10,7,6,1,9,8,4,3,5,2
86,1,9,2,4,2,3,2,3,3,3,6,8.56068448,9.79368967,3.7321622,20.1116721,21.44026627,2.81791625,2.92499974,4.49724979,7.72894666,18.39241285,3,3,3,5,6,6,6,6,6,6,6,6,55,0,0,0,0,0,0,7,0,0,0,2,1,2,2,2,6,4,-3,No,White,High school graduate,Female,No,Yes,Pacific Northwest,50 to 59,6,7,3,9,10,1,2,4,5,8
87,1,1,1,3,2,3,2,2,1,2,1,11.75204705,16.05058777,14.98158062,11.28354601,2.32980786,0.85251355,8.5003325,13.6355212,14.15091122,6.46315223,1,2,1,1,2,5,4,2,4,4,4,4,25,0,0,0,4,0,0,0,0,0,0,1,1,1,2,2,4,1,0,No,Hispanic,High school graduate,Female,Yes,Yes,Alaska/British Columbia,18 to 29,6,10,9,5,2,1,4,7,8,3
89,1,2,3,3,1,1,2,2,2,1,2,15.32299642,8.67937742,5.72745929,12.36318811,19.90731651,11.34366157,2.01873369,9.29967565,7.46999168,7.86759967,2,1,2,2,3,2,2,3,5,4,4,5,30,0,0,0,0,0,0,7,0,0,0,1,1,2,7,1,6,2,0,Yes,White,2 or 3 years postgraduate work/master's degree,Male,Yes,Yes,California,30 to 39,9,5,2,8,10,7,1,6,3,4
90,1,2,3,2,2,4,7,4,7,3,3,12.46754041,10.84379128,8.74222683,4.79604483,21.33745265,1.82875163,0.47003127,5.10878235,12.60692118,21.79845757,3,3,3,5,6,6,6,6,6,6,6,6,54,0,0,0,0,0,0,7,0,0,0,1,1,2,7,2,6,4,4,No,White,2 or 3 years postgraduate work/master's degree,Female,Yes,Yes,California,50 to 59,7,6,5,3,9,2,1,4,8,10
94,1,2,3,2,2,3,2,3,2,1,2,7.56944428,15.73478736,19.35872631,5.60209669,3.8542883,3.34010747,9.95589584,13.19858967,16.33623668,5.04982738,1,2,1,2,5,4,5,5,5,4,4,3,21,0,0,0,4,0,0,7,0,0,0,2,1,1,3,1,4,1,0,No,Hispanic,"Some college, no degree",Male,No,Yes,California,18 to 29,5,8,10,4,2,1,6,7,9,3
97,1,4,4,4,2,3,4,2,2,2,1,8.71559815,15.25313703,13.06332288,16.04489192,5.43419864,3.6148695,4.86412519,6.54749546,21.19062808,5.27173316,1,1,1,1,4,4,4,3,4,5,5,5,34,0,0,0,0,0,0,7,0,0,0,1,2,1,3,1,6,2,1,No,White,"Some college, no degree",Male,Yes,No,New England,30 to 39,6,8,7,9,4,1,2,5,10,3
99,1,4,4,2,2,3,3,3,3,3,2,15.9111666,12.53365266,13.38585063,3.86964577,20.44702655,3.37362141,4.3876136,9.26804672,6.33469074,10.48868532,1,1,2,1,2,3,3,3,3,3,2,2,26,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,No,American Indian and Alaska Native,High school graduate,Female,No,No,New England,18 to 29,9,7,8,2,10,1,3,5,4,6
102,1,4,4,2,1,2,2,2,2,1,2,24.37392669,7.39681691,10.6677649,12.90211131,12.40383306,2.55365454,0.42823132,12.53257839,7.57536448,9.1657184,2,3,1,2,3,3,4,3,4,4,4,4,38,0,0,0,0,0,0,7,0,0,0,1,2,2,2,2,6,2,0,Yes,White,High school graduate,Female,Yes,No,New England,30 to 39,10,3,6,9,7,2,1,8,4,5
103,1,2,3,3,2,3,6,4,7,3,2,25.0263927,8.49301967,8.09040686,9.66059129,14.23897024,7.71331298,0.79083859,5.81967402,12.59833502,7.56845864,3,3,1,5,2,2,3,3,6,4,4,3,18,0,0,0,4,0,0,0,0,0,0,2,2,1,3,4,4,1,5,No,Hispanic,"Some college, no degree",Prefer not to answer,No,No,California,18 to 29,10,6,5,7,9,4,1,2,8,3
106,1,7,2,4,2,1,1,1,1,1,1,23.30425618,21.49206491,14.09137752,4.66287811,13.88657716,1.03585803,0.21064213,6.3853743,5.35016674,9.58080494,1,2,1,1,5,4,4,4,4,5,5,5,30,0,0,0,0,0,0,0,8,0,0,1,2,1,5,1,7,2,0,No,Multiracial,4-year college/bachelor's degree,Male,Yes,No,Pacific Northwest,30 to 39,10,9,8,3,7,2,1,5,4,6
108,1,2,3,2,2,1,2,2,3,1,1,6.22383945,7.87061513,4.71646621,18.04861932,5.43738178,5.135568,10.31306021,16.56847011,17.74307643,7.94290336,3,3,1,1,5,3,5,2,3,3,3,5,19,0,0,3,4,0,0,0,0,0,0,1,2,1,5,2,3,1,2,No,Black,4-year college/bachelor's degree,Female,Yes,No,California,18 to 29,4,5,1,10,3,2,7,8,9,6
111,1,2,3,3,2,2,3,3,6,2,3,23.64808717,18.97931835,19.77577978,6.32912666,1.40880988,3.71570402,3.65506301,4.15970829,10.45324724,7.87515558,2,2,1,5,3,3,3,3,3,3,3,3,31,0,0,0,0,0,0,7,0,0,0,1,1,1,4,2,6,2,3,No,White,Vocational training/2-year college,Female,Yes,Yes,California,30 to 39,10,8,9,5,1,3,2,4,7,6
112,1,9,2,4,2,2,4,3,3,3,2,5.44390577,8.71827695,5.3373226,26.65682581,2.84669658,10.35031014,14.56197335,15.66035195,5.04925281,5.37508405,2,2,2,2,4,3,4,3,6,3,3,3,39,0,0,0,0,0,0,7,0,0,0,2,1,1,7,2,6,2,1,No,White,2 or 3 years postgraduate work/master's degree,Female,No,Yes,Pacific Northwest,30 to 39,5,6,3,10,1,7,8,9,2,4
113,1,2,3,4,2,4,7,3,3,1,1,17.50617674,17.47723278,20.44003619,8.18206538,2.20118434,0.58971716,0.60892174,12.86721601,14.82430172,5.30314794,1,5,1,2,4,6,4,3,6,6,6,3,21,0,2,0,0,0,0,0,0,0,0,2,2,1,3,2,2,1,2,No,Asian,"Some college, no degree",Female,No,No,California,18 to 29,9,8,10,5,3,1,2,6,7,4
114,1,3,4,4,2,2,3,3,3,3,3,12.54091202,9.09698424,17.05434873,3.95642775,2.41987279,4.92209401,23.74972892,7.43626289,17.5137432,1.30962545,3,3,3,5,3,3,3,3,3,3,3,3,58,0,0,0,0,0,0,7,0,0,0,1,1,1,5,4,6,4,0,No,White,4-year college/bachelor's degree,Prefer not to answer,Yes,Yes,New England,50 to 59,7,6,8,3,2,4,10,5,9,1
115,1,2,3,1,2,1,5,3,6,2,1,21.6066099,15.05988072,12.62692031,7.37988823,15.75266023,0.34554487,0.30027458,3.08791376,11.74639685,12.09391055,1,3,1,1,5,5,5,4,1,1,2,2,64,1,0,0,4,0,0,0,0,0,0,1,1,2,3,2,1,5,5,No,American Indian and Alaska Native,"Some college, no degree",Female,Yes,Yes,California,60 to 69,10,8,7,4,9,2,1,3,5,6
121,1,2,3,1,2,4,7,2,3,2,1,11.15078428,6.32864435,6.59457632,10.53173326,9.16103255,7.89416761,4.44829962,5.96271215,21.45934795,16.46870191,1,1,1,1,5,3,4,4,2,4,5,4,21,0,0,0,0,0,0,7,0,0,0,1,2,1,2,2,6,1,2,No,White,High school graduate,Female,Yes,No,California,18 to 29,8,3,4,7,6,5,1,2,10,9
123,1,9,2,5,2,2,2,2,4,2,2,15.93869868,13.43583529,23.16167375,12.45890368,3.76281169,3.59795134,9.03154122,13.17451746,2.10996459,3.32810229,4,2,2,2,2,3,2,5,2,4,1,4,23,0,0,0,0,0,0,7,0,0,0,1,2,1,4,1,6,1,2,No,White,Vocational training/2-year college,Male,Yes,No,Pacific Northwest,18 to 29,9,8,10,6,4,3,5,7,1,2
124,1,4,4,3,2,2,4,3,6,3,1,14.39443385,16.6996217,23.69853715,4.88647582,2.01148725,0.87133352,8.49565929,4.863824,23.24668882,0.83193861,1,1,1,1,4,4,2,3,3,3,3,3,69,0,0,0,0,0,0,7,0,0,0,1,1,1,7,2,6,5,5,No,White,2 or 3 years postgraduate work/master's degree,Female,Yes,Yes,New England,60 to 69,7,8,10,5,3,2,6,4,9,1
125,1,3,4,4,2,1,2,2,3,1,2,6.75885787,12.78194396,4.66705281,4.84243379,26.48937361,5.14072201,1.79915448,2.58339408,19.11269742,15.82436996,3,3,1,3,3,1,6,1,1,2,3,1,41,0,0,0,0,0,0,7,0,0,0,2,2,2,2,2,6,3,1,No,White,High school graduate,Female,No,No,New England,40 to 49,6,7,3,4,10,5,1,2,9,8
127,1,2,3,3,2,4,7,4,7,2,3,12.61495996,11.63737201,9.54631439,5.83514624,19.3398646,6.48185922,7.36715038,5.28158438,11.23780964,10.65793919,2,4,1,1,4,3,4,3,2,4,3,2,33,0,0,0,4,0,0,0,0,0,0,1,1,1,2,1,4,2,4,No,Hispanic,High school graduate,Male,Yes,Yes,California,30 to 39,9,8,5,2,10,3,4,1,7,6
131,1,9,2,5,2,3,6,4,7,3,1,22.62327924,12.23406066,17.48042562,3.50482907,1.82639832,1.21820348,4.87911249,9.47172252,16.03280357,10.72916503,1,2,1,1,5,2,4,3,2,4,4,1,26,0,0,0,0,0,0,7,0,0,0,2,2,6,3,2,6,1,6,No,White,"Some college, no degree",Female,No,No,Pacific Northwest,18 to 29,10,7,9,3,2,1,4,5,8,6
133,1,2,3,2,2,2,3,2,4,2,4,4.54307357,14.62371179,4.26692977,6.19061378,11.57927932,3.33300502,6.99380829,15.09349047,24.11884631,9.25724168,#NULL!,3,1,2,4,4,4,4,4,4,3,3,21,0,0,0,4,0,0,0,0,0,0,1,2,1,2,2,4,1,0,No,Hispanic,High school graduate,Female,Yes,No,California,18 to 29,3,8,2,4,7,1,5,9,10,6
135,1,2,3,2,2,3,3,2,2,3,1,17.79694159,8.54530609,2.64239019,5.99814557,16.44277073,4.12589217,12.24440996,1.61725296,15.80848177,14.77840897,1,2,1,1,1,3,4,1,2,3,4,3,64,0,0,0,0,0,0,7,0,0,0,1,0,2,5,1,6,5,1,No,White,4-year college/bachelor's degree,Male,Yes,No,California,60 to 69,10,5,2,4,9,3,6,1,8,7
140,1,9,2,1,2,2,3,2,3,1,2,13.13091167,11.44761708,25.35342462,6.62727703,3.07722956,1.1227463,11.92071737,4.28328391,21.05695521,1.97983725,1,2,1,1,5,4,4,3,3,4,4,2,75,0,0,0,0,0,0,7,0,0,0,1,1,2,5,2,6,6,1,No,White,4-year college/bachelor's degree,Female,Yes,Yes,Pacific Northwest,70+,8,6,10,5,3,1,7,4,9,2
141,1,2,3,5,2,3,3,4,7,1,3,14.46134105,7.00642317,18.05036611,5.21650332,7.173445,4.2991372,14.61534162,7.83744419,19.43587625,1.90412209,5,2,2,4,3,4,2,3,2,2,2,2,19,0,0,0,4,0,0,0,0,0,0,1,2,1,3,2,4,1,4,No,Hispanic,"Some college, no degree",Female,Yes,No,California,18 to 29,7,4,9,3,5,2,8,6,10,1
142,1,2,3,1,2,3,1,3,6,1,3,4.54246836,13.12275342,7.26319201,3.34030633,7.96715655,8.19519577,8.94655373,20.53393139,9.06381416,17.02462829,4,4,2,3,4,4,4,4,6,4,3,4,53,0,0,3,0,0,0,0,0,0,0,1,2,3,4,2,3,4,3,No,Black,Vocational training/2-year college,Female,Yes,No,California,50 to 59,2,8,3,1,4,5,6,10,7,9
147,1,2,3,2,2,3,3,3,3,3,2,14.99353597,16.14620873,9.92003233,15.70505773,9.23279296,0.64350784,0.78114445,7.44653647,3.2667848,21.86439872,1,4,1,2,4,3,4,3,4,4,4,3,79,0,0,0,0,0,0,7,0,0,0,1,1,2,7,1,6,6,1,No,White,2 or 3 years postgraduate work/master's degree,Male,Yes,Yes,California,70+,7,9,6,8,5,1,2,4,3,10
148,1,7,2,1,2,4,7,4,7,1,2,16.12712733,20.63489439,13.63701743,16.07330566,5.30879887,0.90982227,0.26711673,7.02061668,13.25731418,6.76398646,1,2,1,2,4,3,4,3,4,4,4,3,67,0,0,0,0,0,0,7,0,0,0,1,1,2,2,2,6,5,5,No,White,High school graduate,Female,Yes,Yes,Pacific Northwest,60 to 69,9,10,7,8,3,2,1,5,6,4
150,1,2,3,5,2,2,3,2,2,1,1,16.71647837,7.63988225,14.91983468,13.82068773,7.58625089,1.53587233,4.05492617,15.66695274,10.4751783,7.58393653,2,3,1,2,4,3,3,4,3,4,4,3,40,0,0,0,0,0,0,7,0,0,0,1,1,2,5,1,6,3,1,No,White,4-year college/bachelor's degree,Male,Yes,Yes,California,40 to 49,10,5,8,7,4,1,2,9,6,3
152,1,9,2,4,2,3,3,4,7,3,2,17.51149889,20.62055553,13.32219725,6.53886678,11.92412127,1.7917795,0.48198117,7.8783668,14.39621854,5.53441428,2,5,1,2,4,6,4,1,6,4,4,6,69,0,0,0,0,0,0,7,0,0,0,1,2,3,3,1,6,5,5,No,White,"Some college, no degree",Male,Yes,No,Pacific Northwest,60 to 69,9,10,7,4,6,2,1,5,8,3
155,1,7,2,4,2,3,6,4,7,1,2,5.11194115,10.88834885,11.9080753,6.12858753,0.8963231,20.78687314,9.50808107,17.81222485,14.41969601,2.53984898,1,4,1,1,5,4,4,2,2,3,3,3,35,0,0,0,0,0,0,7,0,0,0,1,2,2,5,2,6,2,5,No,White,4-year college/bachelor's degree,Female,Yes,No,Pacific Northwest,30 to 39,3,6,7,4,1,10,5,9,8,2
156,1,2,3,3,2,2,2,2,2,1,1,15.67351324,6.66592988,12.99653371,6.16778897,15.57887196,7.78982487,9.26763591,3.80838457,9.52358719,12.52792969,2,1,2,2,4,5,5,4,4,#NULL!,3,4,35,0,0,0,0,0,0,7,0,0,0,1,1,2,5,1,6,2,1,No,White,4-year college/bachelor's degree,Male,Yes,Yes,California,30 to 39,10,3,8,2,9,4,5,1,6,7
157,1,2,3,3,2,1,2,2,2,3,2,8.08547416,17.90776152,18.36060979,12.27073718,3.80563939,2.27171217,8.1066298,23.45490632,1.47150193,4.26502774,2,4,1,2,5,4,5,4,4,2,3,3,78,0,0,0,0,0,0,7,0,0,0,1,1,1,7,1,6,6,0,No,White,2 or 3 years postgraduate work/master's degree,Male,Yes,Yes,California,70+,5,8,9,7,3,2,6,10,1,4
