X1,sys_RespNum,QUOTA,Q9Quota,State,Region,Opinion_aqua_pre,Support_pre,Wild_farmed_pre,M3_strong,M3_weak,VIDEOQUOTA,Opinion_video,Support_post,Purchase_seafood_post,Opinion_aqua_post,Wild_farmed_post,Trust_scientists,Trust_NGO,Trust_Govt,Trust_Chefs,Trust_farmers,Trust_grocer,Trust_food_companies,Age,Marital,Education,Religion,Race,Income,Gender,MXD_I,MXD_II,MXD_III,MXD_IV,MXD_V,MXD_VI,MXD_VII,MXD_VIII,MXD_IX,MXD_X,Message_1,Message_2,Message_3,Message_4,Message_5,Message_6,Message_7,Message_8,Message_9,Message_10,Region_factor,Gender_factor,Race_factor,Education_factor,Marital_factor,Last_seafood_factor,Neighborhood_factor,survey_2_region,survey_2_state
204,659,1,2,10,4,3,2,1,5,5,6,2,2,1,2,3,3,3,3,4,5,4,3,79,6,4,9,1,1,2,15.74073,13.71852,0.70153,15.95913,9.80207,2.70382,2.80603,14.3329,5.09149,19.1438,8,6,1,9,5,2,3,7,4,10,South,Female,White,"Some college, no degree",Other,2 days ago,Suburban,8,Florida
2,28,1,2,1,4,3,2,2,5,4,4,1,1,1,1,3,3,3,3,3,3,2,2,78,5,5,2,1,4,2,9.90578,13.1781,1.32867,11.61126,9.91726,1.64841,17.29092,24.67888,1.79265,8.64806,5,8,1,7,6,2,9,10,3,4,South,Female,White,Vocational training/2 year college,Widowed,Yesterday,Suburban,8,Alabama
527,485,1,2,33,1,6,3,#NULL!,3,3,2,3,3,#NULL!,3,#NULL!,3,3,3,3,3,3,3,77,3,4,3,4,1,2,15.04955,9.32026,8.15223,11.34789,9.28238,5.2105,8.54132,4.29335,10.69234,18.11019,9,6,3,8,5,2,4,1,7,10,Northeast,Female,Mixed,"Some college, no degree",Divorced,Never,Urban,5,New York
627,868,1,1,38,3,1,3,3,5,2,2,2,1,2,1,3,4,5,4,5,4,3,3,77,2,8,3,1,4,1,16.24063,8.2579,4.50623,17.45544,5.76869,0.91734,1.06613,3.39936,19.41231,22.97598,7,6,4,8,5,1,2,3,9,10,West,Male,White,2 or 3 years postgraduate work/master's degree,Married,Within the last month,Urban,2,Oregon
225,1023,1,2,10,4,2,1,1,5,5,4,1,2,2,2,1,5,4,1,3,1,3,1,76,2,6,9,2,3,1,7.56205,12.07115,4.11659,15.97613,18.4118,6.8488,4.94898,11.35638,14.05733,4.6508,5,7,1,9,10,4,3,6,8,2,South,Male,African American,4-year college/bachelor's degree,Married,Today,Rural,8,Florida
357,222,1,2,19,4,1,1,2,5,5,3,1,1,1,1,2,5,3,3,3,4,3,3,76,5,3,11,1,1,2,8.56613,19.78912,1.97389,9.70009,15.97379,0.63019,18.81527,16.9834,2.47537,5.09273,5,10,2,6,7,1,9,8,3,4,South,Female,White,High school graduate,Widowed,2 days ago,Suburban,8,Louisiana
607,221,1,2,37,4,6,3,2,5,3,2,1,2,2,2,3,4,3,3,4,4,3,4,76,5,4,2,1,2,2,6.48262,11.81438,0.81321,10.77586,21.29735,2.28458,15.64256,17.57392,3.45882,9.85672,4,7,1,6,10,2,8,9,3,5,South,Female,White,"Some college, no degree",Widowed,2 days ago,Rural,8,Oklahoma
623,380,1,1,38,3,2,1,3,4,3,5,1,1,1,1,2,5,3,5,5,5,5,5,76,2,4,13,1,2,2,17.20716,4.95487,5.17166,9.59881,19.76128,1.44185,10.70299,7.71733,9.16746,14.27659,9,2,3,6,10,1,7,4,5,8,West,Female,White,"Some college, no degree",Married,Within the last week,Urban,2,Oregon
705,256,1,2,44,4,4,2,2,3,2,2,2,2,2,1,2,3,2,2,2,4,2,2,76,2,9,2,1,5,1,17.51231,3.90286,1.10284,14.88463,12.47903,0.62716,5.85367,9.90005,14.02192,19.71552,9,3,2,8,6,1,4,5,7,10,South,Male,White,Doctoral/law degree,Married,Within the last month,Suburban,8,Texas
22,50,1,2,3,3,2,4,1,5,4,5,1,1,2,2,1,3,4,2,4,5,1,1,75,2,5,2,1,2,2,5.68474,9.29557,1.13883,7.35841,25.18909,1.49706,16.19457,19.39077,5.69553,8.55543,3,7,1,5,10,2,8,9,4,6,West,Female,White,Vocational training/2 year college,Married,More than a month ago,Urban,7,Arizona
47,4,1,1,5,3,3,3,1,5,2,4,1,2,3,2,1,4,2,3,3,4,3,2,75,2,5,3,5,5,2,1.9661,15.27649,0.40969,6.94455,15.80282,6.51697,5.67357,21.61656,4.69308,21.10016,2,7,1,6,8,5,4,10,3,9,West,Female,Other,Vocational training/2 year college,Married,Within the last month,Suburban,3,California
182,254,1,1,10,4,3,2,3,4,3,4,2,2,3,2,3,4,4,4,3,4,4,4,75,3,8,11,1,4,1,19.58293,12.86489,7.79749,18.40527,4.02723,10.08045,1.24796,1.41127,15.71319,8.86932,10,7,4,9,3,6,1,2,8,5,South,Male,White,2 or 3 years postgraduate work/master's degree,Divorced,Within the last week,Urban,8,Florida
406,357,1,1,23,2,1,1,3,4,2,4,1,2,1,1,2,4,4,3,3,3,3,2,75,2,8,3,1,9,1,9.48889,7.37884,0.71308,16.23731,12.1714,1.90753,6.65816,20.47122,8.38413,16.58945,6,4,1,8,7,2,3,10,5,9,Midwest,Male,White,2 or 3 years postgraduate work/master's degree,Married,Yesterday,Suburban,6,Michigan
563,651,1,1,34,4,2,2,3,4,3,4,1,1,1,1,3,3,2,2,3,3,3,3,75,3,4,4,1,4,2,11.43992,5.6603,7.32319,12.46866,1.37098,13.78699,3.08204,4.28145,21.02621,19.56027,6,4,5,7,1,8,2,3,10,9,South,Female,White,"Some college, no degree",Divorced,Yesterday,Urban,8,North Carolina
188,339,1,1,10,4,1,1,3,5,3,1,1,1,1,1,3,3,3,4,3,4,2,3,74,3,4,2,1,2,1,16.70673,4.60763,1.41506,12.141,6.41979,7.06134,14.93807,5.42198,15.70304,15.58535,10,2,1,6,4,5,7,3,9,8,South,Male,White,"Some college, no degree",Divorced,Yesterday,Suburban,8,Florida
444,524,1,1,26,2,4,2,1,4,4,6,2,3,2,2,1,3,2,4,3,3,4,3,74,2,8,2,1,6,1,3.69227,8.80472,0.53876,16.37809,6.1668,4.11383,4.38276,21.18368,12.4958,22.2433,2,6,1,8,5,3,4,9,7,10,Midwest,Male,White,2 or 3 years postgraduate work/master's degree,Married,Yesterday,Suburban,6,Missouri
535,687,1,1,33,1,3,3,3,3,3,3,2,2,3,3,1,4,#NULL!,4,3,4,3,3,74,5,3,3,1,#NULL!,2,11.01304,8.11834,2.75403,20.10779,9.62412,2.37108,3.17718,22.14026,13.91415,6.78001,7,5,2,9,6,1,3,10,8,4,Northeast,Female,White,High school graduate,Widowed,Yesterday,Urban,5,New York
554,218,1,2,34,4,3,3,#NULL!,4,3,1,1,1,#NULL!,1,#NULL!,4,4,4,4,5,4,4,74,2,2,13,1,9,2,8.64443,12.55245,2.3,11.54137,6.04954,5.85811,1.91457,15.38944,9.00314,26.74695,5,8,2,7,4,3,1,9,6,10,South,Female,White,Some high school,Married,More than a month ago,Suburban,8,North Carolina
583,368,1,2,36,2,2,2,1,5,3,4,2,2,2,2,3,4,3,3,2,5,3,2,74,2,8,2,1,8,1,7.34251,10.37694,0.2958,7.71582,20.44035,1.16778,8.52553,24.48161,3.62712,16.02652,4,7,1,5,9,2,6,10,3,8,Midwest,Male,White,2 or 3 years postgraduate work/master's degree,Married,Within the last week,Suburban,6,Ohio
593,698,1,2,36,2,4,4,1,3,3,3,2,2,3,3,1,3,3,1,4,3,3,3,74,2,6,2,1,1,2,8.47178,15.55572,7.7351,12.32235,14.82267,0.74687,4.99265,18.21567,14.60639,2.53079,5,9,4,6,8,1,3,10,7,2,Midwest,Female,White,4-year college/bachelor's degree,Married,Yesterday,Suburban,6,Ohio
75,320,1,2,5,3,2,2,3,5,1,2,3,2,3,1,3,3,3,3,4,4,4,3,73,1,5,11,1,2,1,13.0576,13.46409,0.60419,20.59205,6.08705,1.19222,4.15808,7.27889,10.60797,22.95787,7,8,1,9,4,2,3,5,6,10,West,Male,White,Vocational training/2 year college,Single,More than a month ago,Suburban,3,California
417,954,1,1,23,2,4,3,#NULL!,4,3,6,4,4,#NULL!,4,#NULL!,4,4,3,6,4,4,2,73,3,5,1,5,2,1,3.34248,13.62739,6.13763,9.45937,7.44012,5.49591,8.11818,15.65404,9.69784,21.02703,1,8,3,6,4,2,5,9,7,10,Midwest,Male,Other,Vocational training/2 year college,Divorced,Today,Rural,6,Michigan
557,232,1,2,34,4,2,4,1,5,5,2,1,1,1,1,2,3,2,3,4,5,4,3,73,2,5,2,1,2,2,4.65104,4.89119,2.79736,11.37313,17.5989,4.32142,6.652,20.49708,17.91176,9.30612,3,4,1,7,8,2,5,10,9,6,South,Female,White,Vocational training/2 year college,Married,Can't remember,Suburban,8,North Carolina
723,658,1,1,44,4,2,2,#NULL!,4,2,3,1,2,#NULL!,2,#NULL!,4,3,2,3,4,3,2,73,5,8,2,1,4,2,16.46518,11.76249,1.38994,9.43009,5.43811,6.32551,11.82769,15.15339,10.36936,11.83824,10,6,1,4,2,3,7,9,5,8,South,Female,White,2 or 3 years postgraduate work/master's degree,Widowed,Never,Rural,8,Texas
758,356,1,1,47,4,6,3,3,3,3,2,3,3,3,2,3,4,3,3,2,3,2,3,73,5,4,1,1,1,2,7.38749,14.3854,13.71753,6.3914,14.44107,0.90264,15.82181,19.41872,4.08794,3.44601,5,7,6,4,8,1,9,10,3,2,South,Female,White,"Some college, no degree",Widowed,Can't remember,Suburban,5,Virginia
95,523,1,1,5,3,2,2,1,5,4,2,1,2,3,1,1,4,4,3,4,5,4,4,72,2,9,3,1,5,1,9.21154,9.44401,1.93625,12.95452,17.73092,7.12765,1.98676,6.9037,13.65411,19.05052,5,6,1,7,9,4,2,3,8,10,West,Male,White,Doctoral/law degree,Married,More than a month ago,Rural,3,California
178,243,1,1,10,4,2,2,1,5,3,2,1,1,2,1,3,3,1,2,5,4,4,4,72,3,6,3,1,3,1,10.49339,13.15921,0.53337,15.43717,19.18787,0.94377,7.7117,20.13603,4.9694,7.4281,6,7,1,8,9,2,5,10,3,4,South,Male,White,4-year college/bachelor's degree,Divorced,Within the last week,Suburban,8,Florida
189,350,1,2,10,4,1,1,3,5,1,6,1,1,1,1,3,3,4,2,4,5,4,4,72,2,8,2,1,6,1,23.15832,18.03759,11.7554,20.26227,5.1433,0.45275,5.63479,6.69233,5.98456,2.87868,10,8,7,9,3,1,4,6,5,2,South,Male,White,2 or 3 years postgraduate work/master's degree,Married,2 days ago,Suburban,8,Florida
190,361,1,2,10,4,4,4,1,5,3,3,1,1,1,1,3,4,4,1,4,4,6,3,72,2,4,1,1,2,2,4.12928,9.9397,0.99924,8.61979,18.77179,1.70409,11.60812,25.15796,7.86681,11.20321,3,6,1,5,9,2,8,10,4,7,South,Female,White,"Some college, no degree",Married,Within the last month,Suburban,8,Florida
257,874,1,1,11,4,2,2,1,5,5,3,1,1,1,1,2,4,5,4,5,5,5,4,72,2,7,2,1,4,1,18.22001,13.97768,4.13708,15.12319,7.47327,6.22333,8.22101,9.3416,6.92119,10.36163,10,8,1,9,4,2,5,6,3,7,South,Male,White,"Some postgraduate work, no degree",Married,Today,Urban,8,Georgia
301,980,1,1,14,2,2,2,1,5,2,3,1,1,1,1,2,5,4,4,4,4,4,4,72,2,9,2,1,5,1,16.70605,8.32559,1.3766,8.12841,8.78531,2.55488,5.92674,11.08864,9.9632,27.14457,9,5,1,4,6,2,3,8,7,10,Midwest,Male,White,Doctoral/law degree,Married,Within the last week,Suburban,6,Illinois
330,989,1,1,15,2,2,3,2,3,3,1,2,3,3,2,3,6,6,6,6,6,6,6,72,3,5,2,1,1,2,6.19864,13.20591,0.6314,12.86658,11.73423,5.55346,2.70406,13.92066,17.44973,15.73533,4,7,1,6,5,3,2,8,10,9,Midwest,Female,White,Vocational training/2 year college,Divorced,Can't remember,Rural,6,Indiana
338,352,1,2,16,2,3,2,2,4,1,3,2,2,2,2,2,3,3,3,4,4,4,4,72,2,4,3,1,3,1,3.91762,7.10813,0.40106,11.09598,21.81785,3.93223,7.74573,24.91962,5.11113,13.95066,2,5,1,7,9,3,6,10,4,8,Midwest,Male,White,"Some college, no degree",Married,Within the last week,Urban,6,Iowa
529,527,1,2,33,1,3,3,3,4,2,5,2,2,1,2,2,4,3,1,4,4,3,3,72,2,8,5,1,8,2,20.82059,13.34431,1.13787,18.71809,8.34819,0.65435,2.52497,7.80717,17.46992,9.17454,10,7,2,9,5,1,3,4,8,6,Northeast,Female,White,2 or 3 years postgraduate work/master's degree,Married,Within the last week,Suburban,5,New York
596,876,1,2,36,2,#NULL!,3,1,4,4,2,2,3,2,2,1,4,3,3,4,3,3,4,72,2,4,3,1,4,1,11.07362,12.62071,1.93826,16.82329,18.86341,1.41573,1.42618,7.69036,18.76129,9.38714,6,7,3,8,10,1,2,4,9,5,Midwest,Male,White,"Some college, no degree",Married,Within the last week,Suburban,6,Ohio
799,1000,1,2,50,2,3,2,3,3,2,4,2,3,3,6,3,4,6,6,3,3,3,3,72,5,6,2,1,9,2,5.67161,15.26414,0.41086,11.08057,24.5331,1.98663,3.75246,20.84975,3.51721,12.93367,5,8,1,6,10,2,4,9,3,7,Midwest,Female,White,4-year college/bachelor's degree,Widowed,More than a month ago,Suburban,6,Wisonsin
21,42,1,1,3,3,2,3,3,4,3,5,2,2,3,2,3,3,1,3,3,4,3,4,71,2,5,2,1,3,1,18.09418,6.48964,13.34686,12.32452,1.96336,7.06385,4.67109,6.71738,16.43309,12.89602,10,3,8,6,1,5,2,4,9,7,West,Male,White,Vocational training/2 year college,Married,More than a month ago,Rural,7,Arizona
81,396,1,2,5,3,3,3,1,4,2,1,1,1,2,1,2,4,5,3,4,3,3,3,71,1,6,8,1,3,1,10.05405,15.94246,0.57363,10.13284,11.34296,4.45044,2.12038,6.91534,15.33644,23.13146,5,9,1,6,7,3,2,4,8,10,West,Male,White,4-year college/bachelor's degree,Single,Within the last week,Suburban,3,California
138,54,1,2,6,3,2,3,3,5,1,4,1,1,3,1,3,4,4,1,4,3,3,2,71,3,6,3,1,1,2,15.01223,9.86556,1.75023,19.07187,8.49298,1.71912,2.05705,6.02976,10.95878,25.04244,8,6,2,9,5,1,3,4,7,10,West,Female,White,4-year college/bachelor's degree,Divorced,Within the last month,Urban,7,Colorado
181,252,1,2,10,4,1,2,3,5,4,5,2,2,3,2,3,4,4,3,5,4,4,2,71,2,7,5,1,5,1,13.01841,19.54704,24.33112,10.3599,12.70868,2.0201,7.10853,6.13339,3.65249,1.12035,8,9,10,6,7,2,5,4,3,1,South,Male,White,"Some postgraduate work, no degree",Married,Within the last week,Rural,8,Florida
198,494,1,2,10,4,3,3,1,5,3,2,1,2,2,1,3,3,3,3,4,4,4,3,71,2,7,3,1,4,1,5.29221,13.36556,0.95758,8.98958,20.44328,1.33208,9.65659,24.9504,3.16365,11.84907,4,8,1,5,9,2,6,10,3,7,South,Male,White,"Some postgraduate work, no degree",Married,Within the last week,Suburban,8,Florida
224,1020,1,2,10,4,2,2,1,4,2,1,3,3,3,3,1,3,1,1,2,3,1,3,71,2,6,9,1,2,1,6.04517,24.35231,5.18263,12.18526,3.97246,7.74947,3.58617,17.76493,9.09786,10.06372,4,10,3,8,2,5,1,9,6,7,South,Male,White,4-year college/bachelor's degree,Married,2 days ago,Suburban,8,Florida
239,246,1,2,11,4,2,2,3,2,4,3,2,3,3,3,3,4,4,3,4,5,4,4,71,2,9,2,1,4,1,11.32718,3.68503,6.04283,10.4377,9.46319,5.342,8.5917,10.37568,12.00759,22.7271,8,1,3,7,5,2,4,6,9,10,South,Male,White,Doctoral/law degree,Married,More than a month ago,Urban,8,Georgia
374,385,1,2,21,4,4,4,1,5,4,6,2,3,3,2,1,4,4,4,4,4,4,4,71,2,8,5,1,6,2,3.35141,12.71036,0.8913,6.64461,11.23141,6.22585,2.69207,17.99549,12.53585,25.72164,3,8,1,5,6,4,2,9,7,10,South,Female,White,2 or 3 years postgraduate work/master's degree,Married,2 days ago,Suburban,5,Maryland
413,689,1,1,23,2,1,1,2,5,3,6,3,3,3,1,2,5,4,3,4,3,3,2,71,2,8,3,1,2,1,6.74452,6.74971,0.78366,3.92875,17.33773,1.06206,16.33045,17.28174,8.23584,21.54555,4,5,1,3,9,2,7,8,6,10,Midwest,Male,White,2 or 3 years postgraduate work/master's degree,Married,Yesterday,Suburban,6,Michigan
473,29,1,1,30,1,2,2,1,4,4,6,2,3,2,2,1,4,3,3,3,4,#NULL!,3,71,2,3,3,1,3,1,10.08225,23.28117,2.377,18.43162,13.86844,1.27136,2.21236,7.09955,3.37248,18.00378,6,10,3,9,7,1,2,5,4,8,Northeast,Male,White,High school graduate,Married,Within the last week,Suburban,4,New Hampshire
486,402,1,1,31,1,4,4,1,5,3,3,1,1,2,2,1,4,3,1,3,6,1,1,71,5,3,2,1,1,2,13.87264,12.96612,9.80867,23.42804,3.40658,9.56528,3.09335,8.51946,5.97509,9.36477,9,8,7,10,2,6,1,4,3,5,Northeast,Female,White,High school graduate,Widowed,Yesterday,Suburban,5,New Jersey
564,683,1,1,34,4,3,3,1,3,3,4,2,2,3,2,1,4,3,4,4,4,4,2,71,2,6,2,1,3,1,9.68012,16.5796,3.19234,10.45828,12.23399,0.82227,7.87117,20.57915,2.7511,15.832,5,9,3,6,7,1,4,10,2,8,South,Male,White,4-year college/bachelor's degree,Married,Within the last week,Rural,8,North Carolina
718,497,1,1,44,4,6,3,#NULL!,5,1,2,3,3,#NULL!,3,#NULL!,6,1,1,1,6,6,1,71,2,4,3,4,6,2,8.95494,12.46663,1.60842,11.07881,12.42641,0.97709,22.33553,17.74844,5.53724,6.86649,5,8,2,6,7,1,10,9,3,4,South,Female,Mixed,"Some college, no degree",Married,Never,Suburban,8,Texas
779,672,1,1,48,3,3,3,1,4,3,5,2,2,2,2,1,6,6,3,3,3,6,6,71,5,5,2,1,5,1,11.32281,13.51488,3.20851,16.59759,23.30392,0.47679,5.15956,15.88574,1.92728,8.60292,6,7,3,9,10,1,4,8,2,5,West,Male,White,Vocational training/2 year college,Widowed,Within the last week,Suburban,2,Washington
794,677,1,1,50,2,2,3,1,4,2,6,1,2,2,1,2,5,4,3,3,4,3,2,71,2,4,2,1,3,2,20.7113,4.34937,0.86041,14.43474,13.04293,1.62027,3.22785,10.68145,10.09801,20.97368,9,4,1,8,7,2,3,6,5,10,Midwest,Female,White,"Some college, no degree",Married,Within the last week,Rural,6,Wisonsin
9,248,1,1,1,4,3,2,2,4,3,3,2,2,2,2,2,3,2,3,3,3,3,3,70,2,3,2,1,4,2,13.4622,13.55537,0.8792,9.58086,24.0522,2.35566,9.32505,16.86452,4.97345,4.95148,7,8,1,6,10,2,5,9,4,3,South,Female,White,High school graduate,Married,Today,Urban,8,Alabama
28,310,1,2,3,3,3,3,3,3,3,3,2,3,3,3,3,4,2,1,1,4,1,3,70,2,8,9,1,8,1,10.62554,13.41882,23.61669,13.90187,2.27539,7.13615,3.26072,5.32251,17.6895,2.75282,6,7,10,8,1,5,3,4,9,2,West,Male,White,2 or 3 years postgraduate work/master's degree,Married,2 days ago,Suburban,7,Arizona
38,1012,1,1,3,3,3,2,1,4,2,4,2,2,2,2,1,1,3,1,2,5,4,1,70,2,4,2,1,2,1,17.08681,9.17629,0.94787,7.85208,11.82062,6.40084,2.04872,5.47314,14.53227,24.66137,9,6,1,5,7,4,2,3,8,10,West,Male,White,"Some college, no degree",Married,Within the last week,Urban,7,Arizona
166,26,1,2,10,4,2,2,1,5,3,5,1,1,1,1,3,4,4,2,4,4,4,3,70,2,6,5,1,6,2,3.54818,4.46254,0.29279,2.95327,18.84209,5.30394,11.04335,24.4554,7.63213,21.4663,3,4,1,2,8,5,7,10,6,9,South,Female,White,4-year college/bachelor's degree,Married,Within the last week,Urban,8,Florida
167,37,1,2,10,4,2,2,1,3,4,2,1,2,2,2,2,4,4,3,4,4,3,4,70,1,6,2,1,2,2,10.59681,9.37622,5.38254,8.09775,14.5083,2.84476,7.57395,7.56806,14.23005,19.82154,7,6,2,5,9,1,4,3,8,10,South,Female,White,4-year college/bachelor's degree,Single,More than a month ago,Suburban,8,Florida
205,681,1,2,10,4,1,1,3,5,4,5,1,1,1,1,2,5,5,4,5,5,4,4,70,4,3,3,1,1,2,4.23898,19.95878,1.64602,12.24382,22.22207,1.13779,4.44134,13.7548,3.99121,16.36519,4,9,2,6,10,1,5,7,3,8,South,Female,White,High school graduate,Separated,Within the last month,Rural,8,Florida
299,959,1,1,14,2,4,4,1,4,3,5,1,1,2,2,1,4,3,2,4,4,2,2,70,2,6,5,1,5,2,4.65624,12.16009,0.69061,8.81835,14.57957,3.99217,7.35031,11.85426,16.20173,19.69666,3,7,1,5,8,2,4,6,9,10,Midwest,Female,White,4-year college/bachelor's degree,Married,Within the last week,Suburban,6,Illinois
418,979,1,1,23,2,3,3,1,5,5,4,1,1,1,2,3,5,5,4,5,5,3,4,70,5,9,1,2,1,2,10.96275,11.60383,0.82754,7.82822,19.77667,6.15103,6.8672,11.28625,13.63134,11.06518,5,8,1,4,10,2,3,7,9,6,Midwest,Female,African American,Doctoral/law degree,Widowed,Within the last week,Urban,6,Michigan
420,1010,1,2,23,2,3,2,3,2,5,5,2,2,2,2,2,3,3,2,2,2,2,2,70,2,6,3,1,3,2,2.68512,6.29332,0.56996,4.54714,3.82533,21.47212,7.60166,19.16933,11.65586,22.18015,2,5,1,4,3,9,6,8,7,10,Midwest,Female,White,4-year college/bachelor's degree,Married,Yesterday,Suburban,6,Michigan
504,945,1,2,32,3,2,2,3,4,3,4,3,3,3,2,3,3,3,3,3,3,4,2,70,2,5,11,1,3,1,9.66994,2.24679,1.0753,4.01406,12.59023,4.1458,11.62202,15.09753,15.06917,24.46917,5,2,1,3,7,4,6,9,8,10,West,Male,White,Vocational training/2 year college,Married,Within the last week,Suburban,7,New Mexico
611,682,1,1,37,4,2,2,3,4,3,2,3,2,2,2,1,5,4,3,3,4,3,3,70,2,#NULL!,8,1,6,1,20.29406,14.17835,4.03935,16.62461,13.38598,5.31112,3.56165,5.67978,2.05891,14.86618,10,7,3,9,6,4,2,5,1,8,South,Male,White,NA,Married,Yesterday,Suburban,8,Oklahoma
628,12,1,1,39,1,2,1,1,5,4,2,1,1,2,1,#NULL!,4,4,2,4,4,4,4,70,2,8,1,1,5,2,6.076,22.35921,2.50564,12.92275,11.2758,3.49135,3.5465,10.1691,7.2254,20.42826,4,10,1,8,7,2,3,6,5,9,Northeast,Female,White,2 or 3 years postgraduate work/master's degree,Married,Yesterday,Urban,5,Pennsylvania
670,660,1,1,41,4,6,2,3,4,3,5,2,2,2,1,1,4,3,4,4,4,4,4,70,2,3,1,1,1,2,8.94939,13.82829,2.10313,8.65578,25.12042,4.16903,9.73606,9.08943,11.53347,6.815,5,9,1,4,10,2,7,6,8,3,South,Female,White,High school graduate,Married,Within the last month,Suburban,8,South Carolina
30,391,1,2,3,3,4,4,1,5,2,2,2,3,3,2,1,4,2,1,4,4,4,2,69,2,6,2,1,4,1,1.6207,12.23845,0.35487,4.44851,22.14139,2.51682,13.99983,25.9335,5.50883,11.23709,2,7,1,4,9,3,8,10,5,6,West,Male,White,4-year college/bachelor's degree,Married,Today,Suburban,7,Arizona
164,1025,1,2,9,4,2,2,3,#NULL!,4,4,3,2,3,2,3,4,3,4,3,4,3,2,69,1,5,8,4,2,1,13.98988,14.71792,20.46435,7.77245,13.33454,5.32842,9.10446,6.10101,2.29838,6.88858,8,9,10,5,7,2,6,3,1,4,South,Male,Mixed,Vocational training/2 year college,Single,Today,Urban,5,District of Columbia
