zipcode,year_in_community,env_quality,val_fish_habitat,val_drinking_water,val_coastal_water,val_flood_protection,val_agriculture,val_outdoor_rec_summer,val_outdoor_rec_winter,val_fall_foliage,val_forest_climate_protection,val_forest_wood,val_forest_biodiversity,7a,7b,7c,7d,7e,7f,7g,7h,7i,7j,7k,7l,birth_year,gender,education,politics,race,adults_in_household,children_in_household,income,ESmean,frac_children
03245,11,1,5,5,5,5,4,5,5,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7272727272727275,NA
03110,14,1,4,5,5,4,3,2,3,3,5,5,5,2,-1,-1,-2,1,0,1,0,1,-1,1,1,1996,Male,Some College,Slightly Liberal,Asian,4,0,"More than $100,000 per year",4,0
03301,16,0,5,5,5,5,5,4,4,4,5,2,5,1,-2,-2,-2,-2,2,1,-2,2,-2,2,2,1959,Female,Bachelors,Extremely Liberal,White,1,NA,"$50,001 to $75,000 per year",4.454545454545454,NA
03301,20,1,5,5,5,5,5,4,4,2,4,4,5,2,-2,-2,-2,-2,2,0,-2,2,-2,2,2,1955,Male,Gradutate Degree,Liberal,White,2,0,"More than $100,000 per year",4.363636363636363,0
03223,42,1,3,4,5,5,4,3,2,3,4,5,4,0,-1,0,-1,0,-1,0,-2,1,-2,1,1,1945,Male,High School,Slightly Conservative,Prefer Not to Answer,2,0,"$75,001 to $100,000 per year",3.8181818181818183,0
03045,16,0,4,5,4,4,5,4,4,4,4,4,4,1,-2,-2,-2,-2,0,1,0,2,-2,2,-2,1953,Male,Some College,Moderate,White,2,0,"$25,001 to $50,000 per year",4.181818181818182,0
03045,35,1,5,5,5,5,5,4,3,3,5,4,4,2,-2,-2,2,-2,2,1,-1,2,-2,2,2,1946,Female,Bachelors,Slightly Liberal,White,1,0,"Less than $25,000 per year",4.363636363636363,0
03303,12,1,4,5,4,4,5,5,2,2,4,4,4,1,-1,-2,-2,2,1,0,-1,2,-2,2,1,1968,Female,Bachelors,Liberal,White,2,2,"$50,001 to $75,000 per year",3.909090909090909,0.5
03301,15,2,4,5,4,3,5,4,5,4,5,4,4,2,-2,-2,-2,-2,0,0,0,NA,-2,2,2,1963,Female,Bachelors,Extremely Liberal,White,1,0,"$50,001 to $75,000 per year",4.2727272727272725,0
03301,30,1,4,5,5,5,4,5,4,5,5,3,5,2,-1,-2,-2,-2,1,0,-1,2,-2,2,2,1952,Male,Gradutate Degree,Liberal,White,3,0,"$75,001 to $100,000 per year",4.545454545454546,0
03824,20,1,5,5,5,4,5,5,4,1,5,2,5,1,-2,-2,-2,-2,2,1,-2,2,-2,2,2,1995,Male,High School,Prefer Not to Answer,White,2,0,"Less than $25,000 per year",4.181818181818182,0
03304,19,2,5,5,5,5,5,4,4,3,5,4,5,2,-2,-2,-2,-1,1,0,-2,2,-2,2,2,1994,Male,Some College,Prefer Not to Answer,White,3,0,"More than $100,000 per year",4.545454545454546,0
03261,6,2,5,5,5,5,4,3,2,3,5,4,5,2,-1,-2,-2,-2,-1,1,-1,2,-2,1,0,1960,Male,Some College,Slightly Conservative,Other,2,0,"$50,001 to $75,000 per year",4.181818181818182,0
03301,1,0,4,5,4,5,5,4,4,4,5,4,3,2,-1,-1,-2,-1,0,0,1,2,-2,1,2,1966,Female,Bachelors,Moderate,White,2,0,"$50,001 to $75,000 per year",4.2727272727272725,0
03303,18,1,5,5,5,5,5,4,4,4,5,4,5,2,-1,-2,-2,-2,0,0,0,0,-2,2,2,1968,Female,Some College,Prefer Not to Answer,White,6,0,Prefer Not to Answer,4.636363636363637,0
03229,20,1,5,5,5,4,5,4,4,4,4,4,4,1,-1,-1,-2,-2,1,1,-1,2,2,2,2,1963,Female,Gradutate Degree,Liberal,White,4,1,"More than $100,000 per year",4.363636363636363,0.2
03224,10,1,5,5,5,4,4,5,5,4,5,3,4,2,-2,-1,-2,-2,2,1,-1,2,-2,2,2,1951,Male,Bachelors,Liberal,White,2,0,"More than $100,000 per year",4.454545454545454,0
03304,5,2,5,5,5,4,5,4,4,3,5,3,5,2,0,-2,-2,-2,2,-1,-1,2,-1,2,2,1969,Male,Some College,Slightly Conservative,NA,NA,NA,NA,4.363636363636363,NA
03303,7,2,4,5,5,5,4,5,5,5,5,4,5,2,-1,-2,-2,-2,2,NA,0,2,-2,1,2,1942,Male,Gradutate Degree,Liberal,Asian,1,0,"$50,001 to $75,000 per year",4.7272727272727275,0
03301,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03077,5,1,4,5,5,4,4,3,3,1,5,5,5,2,-1,-1,-1,-2,0,0,-1,2,-2,0,2,1964,Male,High School,Conservative,White,2,0,"$50,001 to $75,000 per year",4,0
03303,10,1,5,5,5,5,5,5,5,5,5,3,5,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,1960,Female,Bachelors,Liberal,White,1,NA,"$50,001 to $75,000 per year",4.818181818181818,NA
03301,38,1,4,5,5,5,5,5,5,5,5,5,4,2,-1,-2,-2,-1,1,2,-1,1,-1,2,1,1952,Female,Gradutate Degree,Slightly Conservative,White,2,0,"$50,001 to $75,000 per year",4.818181818181818,0
03038,38,2,5,5,5,5,5,5,5,5,5,5,5,1,-2,-2,-2,-2,2,1,-2,1,-2,2,2,1976,Female,Some College,Conservative,White,2,4,"$50,001 to $75,000 per year",5,0.6666666666666666
03281,18,2,5,5,5,5,5,5,5,5,5,5,5,-2,-1,-2,-2,-2,2,2,-1,2,-2,2,2,1954,Male,Gradutate Degree,Conservative,White,1,0,Prefer Not to Answer,5,0
03261,3,2,5,5,5,3,4,4,4,4,5,4,5,2,-2,-2,-2,-2,0,2,-2,2,-2,2,2,1982,Female,Some College,Prefer Not to Answer,White,3,1,"$25,001 to $50,000 per year",4.363636363636363,0.25
00,28,2,4,5,5,5,5,5,3,5,4,4,3,1,-2,-1,-1,1,-1,0,-1,1,0,0,1,1949,Male,Bachelors,Moderate,White,2,0,"$75,001 to $100,000 per year",4.363636363636363,0
03263,10,1,5,5,5,5,5,5,5,5,5,5,5,2,-2,-2,-2,-2,2,1,1,2,-2,1,2,1970,Female,Bachelors,Slightly Liberal,White,2,NA,"Less than $25,000 per year",5,NA
03902,12,1,5,5,5,4,5,4,3,4,5,4,5,1,-1,-2,1,-2,2,1,0,2,2,1,-1,1957,Male,Some College,Slightly Conservative,White,2,0,"$50,001 to $75,000 per year",4.454545454545454,0
03102,30,1,4,4,4,4,4,4,4,4,4,4,4,2,-1,-1,-1,-1,2,0,-1,2,-1,2,2,1960,Female,Gradutate Degree,Conservative,White,3,1,"$50,001 to $75,000 per year",4,0.25
03431,2,1,5,5,4,4,4,5,5,4,4,4,4,2,-2,-2,-2,-2,2,2,-1,2,-2,2,2,1988,Female,Bachelors,Moderate,White,3,0,"$25,001 to $50,000 per year",4.363636363636363,0
03301,2,1,4,5,3,3,3,5,4,4,4,3,3,2,-2,-1,-1,-2,-1,0,-1,1,-2,1,1,1979,Female,Gradutate Degree,Slightly Liberal,White,2,1,"$75,001 to $100,000 per year",3.727272727272727,0.3333333333333333
03301,32,1,4,5,5,5,5,4,4,4,5,4,4,2,-2,-2,-2,-2,2,0,-2,2,-2,2,2,1951,Female,Gradutate Degree,Extremely Liberal,White,2,0,"$75,001 to $100,000 per year",4.454545454545454,0
03103,29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03281,32,1,5,4,5,4,4,3,3,4,5,3,5,1,-2,-2,-2,-1,1,1,-1,1,-2,2,2,1948,Male,High School,Moderate,White,2,0,"Less than $25,000 per year",4.090909090909091,0
03281,32,1,5,5,5,4,5,3,3,3,5,4,5,2,-2,-2,-2,-2,1,1,-2,2,-2,2,2,1964,Female,High School,Moderate,White,2,0,"Less than $25,000 per year",4.2727272727272725,0
03303,10,1,3,5,3,4,3,4,4,3,5,4,5,1,-2,-2,-2,-2,1,1,-1,2,-2,2,2,1951,Male,Some College,Slightly Liberal,White,2,0,"$50,001 to $75,000 per year",3.909090909090909,0
03301,6,2,5,5,5,5,5,5,5,5,5,5,5,2,-2,-2,-2,-2,1,1,-1,2,-2,2,2,1964,Female,Some College,Liberal,White,1,0,"$25,001 to $50,000 per year",5,0
03307,20,2,5,5,4,3,5,5,5,4,4,4,4,1,-1,-1,-1,0,1,0,-1,1,-1,1,1,1947,Male,Gradutate Degree,Slightly Conservative,Prefer Not to Answer,3,0,Prefer Not to Answer,4.363636363636363,0
03278,26,2,4,5,4,3,4,3,3,3,3,1,4,1,-1,-1,-2,-2,0,1,0,1,-2,1,2,1958,Female,Gradutate Degree,Moderate,White,2,0,"$50,001 to $75,000 per year",3.3636363636363638,0
03303,4,1,4,5,5,3,5,5,5,3,5,3,4,2,-1,-1,-1,-2,1,0,-1,2,-2,2,2,1982,Male,Bachelors,Prefer Not to Answer,White,2,NA,"$75,001 to $100,000 per year",4.2727272727272725,NA
03220,37,1,4,5,4,5,4,4,4,5,4,5,4,2,-2,-2,-2,-2,-2,1,-2,2,-2,2,2,1933,Male,Bachelors,Moderate,White,1,0,Prefer Not to Answer,4.363636363636363,0
03043,15,2,5,5,5,5,4,5,5,3,5,5,5,-2,-2,-2,-2,-2,1,-1,-2,-2,-2,-2,2,1949,Male,Bachelors,Liberal,White,2,0,"$50,001 to $75,000 per year",4.7272727272727275,0
03301,15,0,5,5,5,5,5,5,4,4,5,4,5,2,-1,-2,-2,-2,1,0,-1,2,-2,-2,2,1977,Male,Bachelors,Conservative,White,3,2,"More than $100,000 per year",4.7272727272727275,0.4
03224,23,2,5,5,5,4,5,5,5,5,5,4,4,1,-2,-2,-2,0,1,1,-2,2,-2,2,2,1954,Male,Gradutate Degree,Moderate,White,3,0,"More than $100,000 per year",4.7272727272727275,0
03458,40,2,3,5,5,4,4,5,3,3,5,2,4,2,-1,-2,-2,1,2,0,-2,2,-2,1,2,1950,Female,Bachelors,Slightly Liberal,White,2,NA,"$25,001 to $50,000 per year",3.909090909090909,NA
03301,5,1,5,5,5,5,5,3,3,3,5,3,5,2,-2,-2,-2,-1,1,2,-1,2,-2,2,2,1963,Female,Bachelors,Liberal,White,3,0,"$25,001 to $50,000 per year",4.2727272727272725,0
03281,2,2,5,5,5,4,5,4,3,4,5,3,5,2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,1954,Female,Gradutate Degree,Liberal,White,2,NA,"More than $100,000 per year",4.363636363636363,NA
03229,11,1,5,5,5,4,5,5,4,5,5,5,4,1,-1,2,-2,-2,0,1,-1,1,2,2,1,1961,Male,Bachelors,Moderate,White,2,1,"More than $100,000 per year",4.7272727272727275,0.3333333333333333
03301,40,2,4,5,5,4,4,4,2,3,4,4,4,2,-2,-2,-1,0,1,0,-2,2,-2,-1,2,1947,Female,Gradutate Degree,Liberal,White,2,0,"More than $100,000 per year",3.909090909090909,0
03303,13,1,5,5,4,4,5,5,4,3,4,3,5,1,-1,-1,-2,-1,1,-2,-2,1,-2,2,2,1965,Male,Bachelors,Liberal,White,1,0,"Less than $25,000 per year",4.2727272727272725,0
03221,30,1,3,5,5,4,5,5,3,4,4,4,5,1,-1,-1,-2,-2,0,0,-2,2,-2,2,2,1951,Female,Bachelors,Liberal,White,2,0,"$25,001 to $50,000 per year",4.2727272727272725,0
03245,21,1,5,5,5,5,4,3,2,3,5,4,5,2,-2,-2,-2,-2,2,1,-2,2,-2,2,1,1955,Female,Gradutate Degree,Liberal,White,2,0,"$25,001 to $50,000 per year",4.181818181818182,0
03246,50,1,3,4,2,3,4,2,2,2,3,3,3,2,-1,-2,-2,-1,0,0,-1,2,-2,2,2,1961,Female,Bachelors,Slightly Liberal,White,2,0,"$25,001 to $50,000 per year",2.8181818181818183,0
03222,0,1,5,5,5,4,5,3,3,2,4,3,5,2,-1,-2,-2,-2,2,1,-2,2,-2,2,2,1997,Female,High School,Moderate,Hispanic,3,1,"$25,001 to $50,000 per year",4,0.25
03307,48,0,5,5,5,5,5,5,3,4,5,4,4,2,-2,-2,-2,-1,1,1,-1,2,-2,2,2,1938,Male,Some College,Conservative,White,2,0,"More than $100,000 per year",4.545454545454546,0
03235,13,1,5,5,5,5,4,4,4,4,5,3,5,2,-1,-2,-2,-2,1,1,-1,2,-2,2,2,1966,Female,High School,Slightly Conservative,White,2,2,"$50,001 to $75,000 per year",4.454545454545454,0.5
03287,2,1,5,5,5,5,5,5,5,5,5,5,5,2,-2,-2,-2,-2,-1,1,-2,2,-2,2,NA,1971,Female,Some College,Moderate,White,2,2,"$75,001 to $100,000 per year",5,0.5
03301,1,1,4,NA,5,4,5,NA,3,5,5,4,4,-2,-1,-2,-2,1,-2,2,-1,2,-2,2,-1,1941,Male,Gradutate Degree,Slightly Conservative,White,1,0,"$25,001 to $50,000 per year",NA,0
03110,16,1,5,5,5,5,5,5,5,3,5,3,5,-2,-2,-2,-2,1,1,2,-2,2,-2,2,2,1969,Female,Some College,Moderate,White,5,0,"$75,001 to $100,000 per year",4.636363636363637,0
03894,10,-1,4,5,4,5,5,5,5,3,5,5,5,2,1,-1,-2,-1,0,0,-1,2,-2,2,2,1947,Male,Gradutate Degree,Conservative,White,2,0,"More than $100,000 per year",4.636363636363637,0
03220,23,2,4,5,5,5,5,5,4,4,5,5,5,1,-2,-2,-2,1,1,0,-2,1,-2,2,2,1952,Female,Gradutate Degree,Slightly Liberal,White,2,0,"$50,001 to $75,000 per year",4.7272727272727275,0
03102,2,1,5,5,5,5,4,4,3,4,5,3,4,2,-2,-2,-2,-2,1,NA,-2,2,-2,-2,2,1964,Female,Bachelors,Prefer Not to Answer,Other,1,0,"Less than $25,000 per year",4.2727272727272725,0
00,54,1,5,5,5,5,5,5,5,5,5,5,4,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,1957,Male,Bachelors,Slightly Liberal,White,1,0,"$75,001 to $100,000 per year",4.909090909090909,0
03301,17,2,4,5,5,5,4,5,3,5,3,3,2,0,0,-1,-2,0,0,-1,0,0,-1,0,2,1964,Male,Bachelors,Conservative,White,3,1,"More than $100,000 per year",4,0.25
03303,60,1,5,5,4,5,5,5,5,5,4,5,5,2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,2,1954,Male,High School,Moderate,White,0,0,"Less than $25,000 per year",4.818181818181818,NA
03301,10,1,5,5,5,4,3,2,2,2,5,2,5,2,-2,-2,-2,-2,2,1,-1,2,-2,2,-1,1972,Female,Bachelors,Liberal,White,1,0,"Less than $25,000 per year",3.6363636363636362,0
03104,33,0,4,5,5,4,3,4,2,3,4,3,3,1,-1,-1,-2,-2,1,0,-1,1,-2,2,1,Prefer not to answer,Male,Bachelors,Prefer Not to Answer,Prefer Not to Answer,1,0,Prefer Not to Answer,3.6363636363636362,0
03264,40,2,4,5,5,4,5,5,4,5,4,4,4,2,-2,-2,-2,-2,2,NA,NA,2,-2,2,2,1949,Female,Gradutate Degree,Slightly Conservative,White,2,0,"Less than $25,000 per year",4.454545454545454,0
03034,15,2,5,5,5,1,4,5,1,5,5,5,3,1,-1,-1,-2,1,1,0,0,2,-2,1,2,1941,Male,Gradutate Degree,Conservative,Hispanic,2,0,"More than $100,000 per year",4,0
